stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2:10:JDFS-3,,"Děčín,aut.nádr.",,,,301,,0,,Europe/Prague,0,
2:10:JDFS-29,,"Česká Kamenice,Dolní Kamenice,Děčínská",,,,351,,0,,Europe/Prague,0,
2:10:JDFS-28,,"Varnsdorf,u Vorlíčků",,,,371,,0,,Europe/Prague,0,
2:10:JDFS-27,,"Varnsdorf,Severní dráha",,,,371,,0,,Europe/Prague,0,
2:10:JDFS-26,,"Varnsdorf,jatky",,50.891788,14.622885,371,,0,,Europe/Prague,0,
2:10:JDFS-25,,"Varnsdorf,sportovní hala",,50.907299,14.623501,371,,0,,Europe/Prague,0,
2:10:JDFS-24,,"Varnsdorf,aut.nádr.",,,,371,,0,,Europe/Prague,0,
2:10:JDFS-23,,"Rybniště,pošta",,,,363,,0,,Europe/Prague,0,
2:10:JDFS-22,,"Rybniště,odb.Doubice",,,,363,,0,,Europe/Prague,0,
2:10:JDFS-21,,Markvartice,,50.77252,14.346529,355,,0,,Europe/Prague,0,
2:10:JDFS-20,,Ludvíkovice,,,,347,,0,,Europe/Prague,0,
2:10:JDFS-2,,"Česká Kamenice,Pražská",,,,351,,0,,Europe/Prague,0,
